"species","lon","lat"
"Lagothrix.flavicauda",-77.61006081,-5.623244069
"Lagothrix.flavicauda",-77.9071226,-5.598229972
"Lagothrix.flavicauda",-77.88606295,-5.769133455
"Lagothrix.flavicauda",-77.84692115,-5.623329243
"Lagothrix.flavicauda",-77.74651609,-5.862235881
"Lagothrix.flavicauda",-77.62456363,-5.818765031
"Lagothrix.flavicauda",-77.902111,-5.66525
"Lagothrix.flavicauda",-78.000417,-5.993917
"Lagothrix.flavicauda",-77.873194,-5.811028
"Lagothrix.flavicauda",-77.906194,-5.689139
"Lagothrix.flavicauda",-77.980639,-5.909806
"Lagothrix.flavicauda",-77.732778,-5.977861
"Lagothrix.flavicauda",-77.9,-5.575667
"Lagothrix.flavicauda",-77.081139,-6.361667
"Lagothrix.flavicauda",-77.888278,-6.039306
"Lagothrix.flavicauda",-77.786861,-5.795444
"Lagothrix.flavicauda",-78.265028,-5.669
"Lagothrix.flavicauda",-78.4125,-5.919083
"Lagothrix.flavicauda",-77.810722,-5.697861
"Lagothrix.flavicauda",-77.593917,-5.962083
"Lagothrix.flavicauda",-76.874972,-8.656389
"Lagothrix.flavicauda",-76.791111,-8.651778
"Lagothrix.flavicauda",-77.289528,-6.124583
"Lagothrix.flavicauda",-77.912667,-5.72825
"Lagothrix.flavicauda",-78.067833,-5.530667
"Lagothrix.flavicauda",-78.251,-5.641667
"Lagothrix.flavicauda",-77.519222,-6.342972
"Lagothrix.flavicauda",-76.696,-8.613333
"Lagothrix.flavicauda",-77.141167,-8.11725
"Lagothrix.flavicauda",-77.746528,-5.668
"Lagothrix.flavicauda",-77.764528,-5.671806
"Lagothrix.flavicauda",-77.184722,-8.141889
"Lagothrix.flavicauda",-77.454139,-7.351528
"Lagothrix.flavicauda",-77.739944,-5.923917
"Lagothrix.flavicauda",-76.751333,-8.38075
"Lagothrix.flavicauda",-76.718639,-8.411306
"Lagothrix.flavicauda",-77.096194,-6.451861
"Lagothrix.flavicauda",-77.387556,-5.894694
"Lagothrix.flavicauda",-77.460972,-7.320639
"Lagothrix.flavicauda",-77.3,-8.28
"Lagothrix.flavicauda",-78.06783333,-5.064
"Lagothrix.flavicauda",-77.67236111,-6.724916667
"Lagothrix.flavicauda",-76.62575,-8.492083333
"Lagothrix.flavicauda",-76.84869444,-8.379805556
"Lagothrix.flavicauda",-77.61438889,-6.846805556
"Lagothrix.flavicauda",-77.65805556,-6.716555556
"Lagothrix.flavicauda",-77.40547222,-6.44075
"Lagothrix.flavicauda",-76.3236612,-8.925323388
"Lagothrix.flavicauda",-74.7776503,-11.4135501
"Lagothrix.flavicauda",-75.67887732,-9.7577732
"Lagothrix.flavicauda",-75.67895787,-9.729971449
"Lagothrix.flavicauda",-77.67697222,-5.659611111
"Lagothrix.flavicauda",-76.65522263,-8.654093523
"Lagothrix.flavicauda",-76.62501133,-8.600876599
